iter	Logloss
0	0.6850678933
1	0.6785994194
2	0.6710446917
3	0.6642186802
4	0.6572163852
5	0.6513081155
6	0.6453063397
7	0.6401963637
8	0.6352010158
9	0.6303578704
10	0.6255858944
11	0.6212915916
12	0.6171603153
13	0.612516888
14	0.6094151355
15	0.6064901981
16	0.6029862624
17	0.600413387
18	0.5975254138
19	0.5949349882
20	0.592667112
21	0.5899606428
22	0.5867317593
23	0.5847592313
24	0.5817644136
25	0.5800222743
26	0.5780743007
27	0.5763361672
28	0.5745424602
29	0.5730482966
30	0.5712643899
31	0.5699607176
32	0.5678254943
33	0.5664274346
34	0.5646481673
35	0.5630865839
36	0.56208038
37	0.5606646613
38	0.5595686845
39	0.5578755743
40	0.5567260088
41	0.555175314
42	0.553988441
43	0.5526317798
44	0.5515607103
45	0.5507733437
46	0.5495165289
47	0.5481294215
48	0.5473182368
49	0.5461691464
50	0.5453757461
51	0.5443785262
52	0.543567991
53	0.5428354652
54	0.5417509817
55	0.5409903553
56	0.5399298422
57	0.5391720423
58	0.5388354835
59	0.5380682374
60	0.5370770429
61	0.5366177843
62	0.5362350261
63	0.5355732846
64	0.5349810074
65	0.53399348
66	0.5331496648
67	0.5323598578
68	0.53159252
69	0.5310581357
70	0.5305232088
71	0.5300013958
72	0.5295722578
73	0.528975932
74	0.5282563345
75	0.52750933
76	0.5267806046
77	0.5263227734
78	0.5255212336
79	0.5248171729
80	0.5243900711
81	0.5239184982
82	0.523591683
83	0.5225994571
84	0.5222724248
85	0.5219287485
86	0.5212305987
87	0.5205902547
88	0.5202380754
89	0.5196837544
90	0.5190587605
91	0.518503134
92	0.5178516242
93	0.5172122721
94	0.5167109727
95	0.5158614462
96	0.5151853075
97	0.5148614572
98	0.5145170884
99	0.5141101295
100	0.5136069011
101	0.5131248325
102	0.5125257142
103	0.5118768032
104	0.5113297949
105	0.5107326528
106	0.509764725
107	0.5094850922
108	0.5091255869
109	0.5082045698
110	0.5077540244
111	0.5070713155
112	0.5067531169
113	0.5060974607
114	0.5055710312
115	0.5051731905
116	0.5046332173
117	0.5038007156
118	0.5034959782
119	0.5032101188
120	0.5028576576
121	0.5024466988
122	0.5022497156
123	0.5020098068
124	0.5015637042
125	0.5011803072
126	0.5007663106
127	0.5001399908
128	0.4999012252
129	0.4994044103
130	0.4988280116
131	0.498059419
132	0.4975436426
133	0.4971562512
134	0.4971007343
135	0.4967016491
136	0.496247974
137	0.4961839719
138	0.4958258383
139	0.4955247577
140	0.4951687787
141	0.4949599133
142	0.4946241355
143	0.4943105344
144	0.4940820409
145	0.4938328429
146	0.4935522229
147	0.4928735066
148	0.4923266971
149	0.4923003192
150	0.4919500296
151	0.491608249
152	0.4909845727
153	0.4902147179
154	0.4894476871
155	0.489202657
156	0.4888952383
157	0.4885868491
158	0.4883295648
159	0.4880061027
160	0.4877879269
161	0.4874518737
162	0.4870516691
163	0.4867363192
164	0.486144046
165	0.4855031816
166	0.4853920196
167	0.4847501286
168	0.484175269
169	0.483893183
170	0.4834615997
171	0.482886604
172	0.4824443642
173	0.4820771972
174	0.481357952
175	0.4813273842
176	0.480911296
177	0.4806558616
178	0.4803426151
179	0.4801803103
180	0.4800180848
181	0.4798909013
182	0.4793724407
183	0.4792963997
184	0.4789695498
185	0.4788975991
186	0.4785054114
187	0.4783141477
188	0.4776858895
189	0.4776557177
190	0.4773311644
191	0.4771583634
192	0.4771030277
193	0.4768173833
194	0.4760227961
195	0.4759529336
196	0.4757317827
197	0.4753858934
198	0.4749107181
199	0.4746337224
200	0.4745744874
201	0.474193014
202	0.4737235743
203	0.473134506
204	0.4724406568
205	0.4723113163
206	0.4716236173
207	0.4714734975
208	0.4713219196
209	0.4705406014
210	0.4701802418
211	0.4701306535
212	0.4699029816
213	0.4696189648
214	0.4693806295
215	0.4692925872
216	0.4690315831
217	0.4681413439
218	0.4680732805
219	0.468035799
220	0.467970413
221	0.4675247833
222	0.467074406
223	0.4670069114
224	0.4667817281
225	0.4667283551
226	0.4664468923
227	0.4663830585
228	0.4663172215
229	0.466026536
230	0.4653814432
231	0.4647861454
232	0.4641918106
233	0.4641381158
234	0.4636950812
235	0.4631044594
236	0.4627033599
237	0.4622338663
238	0.4618427874
239	0.4615376343
240	0.4614534364
241	0.460858882
242	0.4606036933
243	0.4598946261
244	0.4597404582
245	0.4596807806
246	0.459382684
247	0.4593490958
248	0.4589479416
249	0.458587211
250	0.4580871348
251	0.4577919496
252	0.4576225632
253	0.4570347016
254	0.4566785481
255	0.4563905163
256	0.4558193425
257	0.4556815018
258	0.4556171535
259	0.4553431591
260	0.4546286163
261	0.4540727266
262	0.4533238518
263	0.4528826936
264	0.4524101936
265	0.451749056
266	0.4513714498
267	0.4512982102
268	0.4509226243
269	0.4501766922
270	0.4500936082
271	0.449581241
272	0.4494180292
273	0.449256915
274	0.4490580532
275	0.4489975907
276	0.448087728
277	0.4476646289
278	0.4472310671
279	0.4469143228
280	0.4465013957
281	0.4462617054
282	0.4462110445
283	0.4461503272
284	0.4459954037
285	0.4456084255
286	0.4452468914
287	0.4451940507
288	0.4448335932
289	0.4445255944
